"","reads.in","reads.out"
"Julianne-331-CEC_S246_L001_R1_001.fastq.gz",63988,41510
"Julianne-331-COL_S273_L001_R1_001.fastq.gz",7,2
"Julianne-331-JEJ_S219_L001_R1_001.fastq.gz",51647,32929
"Julianne-337-CEC_S242_L001_R1_001.fastq.gz",27845,17752
"Julianne-337-COL_S269_L001_R1_001.fastq.gz",37388,24225
"Julianne-337-JEJ_S215_L001_R1_001.fastq.gz",1,0
"Julianne-351-CEC_S244_L001_R1_001.fastq.gz",31365,20204
"Julianne-351-COL_S271_L001_R1_001.fastq.gz",22989,14899
"Julianne-351-JEJ_S217_L001_R1_001.fastq.gz",40443,25613
"Julianne-536-CEC_S238_L001_R1_001.fastq.gz",3,2
"Julianne-536-COL_S265_L001_R1_001.fastq.gz",41761,27030
"Julianne-536-JEJ_S211_L001_R1_001.fastq.gz",36261,23011
"Julianne-540-CEC_S240_L001_R1_001.fastq.gz",1,0
"Julianne-540-COL_S267_L001_R1_001.fastq.gz",40961,26372
"Julianne-540-JEJ_S213_L001_R1_001.fastq.gz",1,0
"Julianne-542-CEC_S232_L001_R1_001.fastq.gz",34961,22681
"Julianne-542-COL_S259_L001_R1_001.fastq.gz",22998,14859
"Julianne-542-JEJ_S205_L001_R1_001.fastq.gz",39771,25811
"Julianne-544-COL_S255_L001_R1_001.fastq.gz",31759,20497
"Julianne-544-JEJ_S201_L001_R1_001.fastq.gz",2,0
"Julianne-547-CEC_S233_L001_R1_001.fastq.gz",36318,23338
"Julianne-547-COL_S260_L001_R1_001.fastq.gz",32628,21166
"Julianne-547-JEJ_S206_L001_R1_001.fastq.gz",35903,23307
"Julianne-579-CEC_S234_L001_R1_001.fastq.gz",63522,40594
"Julianne-579-COL_S261_L001_R1_001.fastq.gz",6,2
"Julianne-579-JEJ_S207_L001_R1_001.fastq.gz",34947,22646
"Julianne-582-CEC_S243_L001_R1_001.fastq.gz",31503,20150
"Julianne-582-COL_S270_L001_R1_001.fastq.gz",50323,31789
"Julianne-582-JEJ_S216_L001_R1_001.fastq.gz",8,0
"Julianne-604-CEC_S235_L001_R1_001.fastq.gz",13966,8995
"Julianne-604-COL_S262_L001_R1_001.fastq.gz",2,1
"Julianne-604-JEJ_S208_L001_R1_001.fastq.gz",40522,26160
"Julianne-661-CEC_S239_L001_R1_001.fastq.gz",10,1
"Julianne-661-COL_S266_L001_R1_001.fastq.gz",34678,22241
"Julianne-661-JEJ_S212_L001_R1_001.fastq.gz",46238,30096
"Julianne-663-CEC_S241_L001_R1_001.fastq.gz",27519,17811
"Julianne-663-COL_S268_L001_R1_001.fastq.gz",34691,22432
"Julianne-663-JEJ_S214_L001_R1_001.fastq.gz",5,1
"Julianne-665-CEC_S237_L001_R1_001.fastq.gz",5,1
"Julianne-665-COL_S264_L001_R1_001.fastq.gz",2,0
"Julianne-665-JEJ_S210_L001_R1_001.fastq.gz",45451,29083
"Julianne-667-CEC_S236_L001_R1_001.fastq.gz",23753,15243
"Julianne-667-COL_S263_L001_R1_001.fastq.gz",4,0
"Julianne-667-JEJ_S209_L001_R1_001.fastq.gz",42401,27589
"Julianne-716-CEC_S231_L001_R1_001.fastq.gz",41279,26279
"Julianne-716-COL_S258_L001_R1_001.fastq.gz",35953,23283
"Julianne-716-JEJ_S204_L001_R1_001.fastq.gz",2,0
"Julianne-717-CEC_S230_L001_R1_001.fastq.gz",32006,20762
