SampleID,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Selenium,Batch,MouseID,SampleType,Genotype,Sex
G10_FP-COL,537.533,1.781,21.139,186.369,0.152,117.351,1.230,One,G10,FP-COL,WT,Male
G10_FP-SI,470.279,0.739,18.376,218.478,0.143,91.826,1.189,One,G10,FP-SI,WT,Male
G10_MUC-COL,118.764,n/a,36.913,125.251,n/a,6.981,0.000,One,G10,MUC-COL,WT,Male
G10_MUC-SI,113.188,0.053,55.727,233.474,0.060,4.315,1.893,One,G10,MUC-SI,WT,Male
G11_FP-COL,690.974,1.890,26.643,270.496,0.193,128.471,1.609,One,G11,FP-COL,WT,Male
G11_FP-SI,308.535,0.458,14.470,243.389,0.202,112.609,1.674,One,G11,FP-SI,WT,Male
G11_MUC-COL,162.875,n/a,32.078,87.918,n/a,3.355,n/a,One,G11,MUC-COL,WT,Male
G11_MUC-SI,113.190,0.052,24.485,88.404,0.050,3.600,2.293,One,G11,MUC-SI,WT,Male
G12_FP-COL,822.889,2.191,39.766,291.656,0.204,135.951,1.523,One,G12,FP-COL,WT,Male
G12_FP-SI,343.841,0.744,20.335,150.692,0.161,50.616,1.884,One,G12,FP-SI,WT,Male
G12_MUC-COL,221.672,0.411,29.648,133.705,n/a,5.262,n/a,One,G12,MUC-COL,WT,Male
G12_MUC-SI,84.124,n/a,32.273,146.845,n/a,2.467,1.495,One,G12,MUC-SI,WT,Male
G13_FP-COL,723.302,1.711,29.045,272.788,0.196,126.166,1.291,One,G13,FP-COL,WT,Male
G13_FP-SI,446.207,1.126,18.978,190.510,0.144,81.478,1.323,One,G13,FP-SI,WT,Male
G13_MUC-COL,386.060,n/a,149.587,990.004,n/a,6.150,n/a,One,G13,MUC-COL,WT,Male
G13_MUC-SI,135.521,0.072,33.081,159.701,0.079,4.583,1.514,One,G13,MUC-SI,WT,Male
G15_FP-COL,835.998,2.884,33.519,322.528,0.253,171.201,1.964,One,G15,FP-COL,WT,Male
G15_FP-SI,472.051,0.517,22.755,243.665,0.178,131.141,1.431,One,G15,FP-SI,WT,Male
G15_MUC-COL,69.661,n/a,14.475,81.896,n/a,2.870,13.615,One,G15,MUC-COL,WT,Male
G15_MUC-SI,69.923,n/a,12.602,64.560,n/a,3.294,3.060,One,G15,MUC-SI,WT,Male
G16_FP-COL,878.904,2.775,32.181,329.512,0.231,149.910,1.785,One,G16,FP-COL,WT,Male
G16_FP-SI,475.885,0.641,18.600,239.086,0.197,132.712,1.097,One,G16,FP-SI,WT,Male
