	shannon
PFF_Baseline_11	5.784183542802261
PFF_Baseline_12	5.072667793707805
PFF_Baseline_13	5.247806826238629
PFF_Baseline_14	4.9417411994521165
PFF_Baseline_15	4.784889222102506
PFF_Baseline_16	5.095851503543486
PFF_Baseline_17	4.3971663511708385
PFF_Baseline_18	5.107659112081088
PFF_Baseline_19	4.699410040394727
PFF_Baseline_1921	4.725922425868397
PFF_Baseline_1937	5.214684621036139
PFF_Baseline_1942	4.91738225676414
PFF_Baseline_1943	4.871069035130154
PFF_Baseline_1944	5.06036766926681
PFF_Baseline_1946	4.721889530927884
PFF_Baseline_25	5.000308694817829
PFF_Baseline_26	5.328250840962094
PFF_Baseline_27	5.106241233914267
PFF_Baseline_28	4.928473341400568
PFF_Baseline_30	5.495975566868537
PFF_Baseline_32	5.330054096385838
PFF_Baseline_35	5.522282311488033
PFF_Baseline_36	5.043716433292486
PFF_Baseline_37	4.970907719902247
