	observed_otus
PFF_Colon_11	155
PFF_Colon_12	148
PFF_Colon_13	126
PFF_Colon_14	118
PFF_Colon_15	147
PFF_Colon_16	145
PFF_Colon_17	136
PFF_Colon_18	156
PFF_Colon_19	135
PFF_Colon_1904	161
PFF_Colon_1906	161
PFF_Colon_1907	128
PFF_Colon_1908	142
PFF_Colon_1910	137
PFF_Colon_1913	104
PFF_Colon_1914	129
PFF_Colon_1917	148
PFF_Colon_1920	122
PFF_Colon_1921	233
PFF_Colon_1937	117
PFF_Colon_1938	122
PFF_Colon_1941	191
PFF_Colon_1942	124
PFF_Colon_1943	152
PFF_Colon_1944	157
PFF_Colon_1945	104
PFF_Colon_1946	99
PFF_Colon_21	135
PFF_Colon_25	112
PFF_Colon_27	192
PFF_Colon_28	146
PFF_Colon_30	105
PFF_Colon_32	142
PFF_Colon_35	151
PFF_Colon_36	202
PFF_Colon_37	119
