	observed_features
PFF_Jejunum_32	84
PFF_Colon_1937	156
PFF_Cecum_16	216
PFF_Cecum_1943	213
PFF_Jejunum_37	47
PFF_Jejunum_16	73
PFF_Jejunum_19	112
PFF_Baseline_19	140
PFF_Jejunum_21	65
PFF_Jejunum_1910	63
PFF_Cecum_12	181
PFF_Colon_12	170
PFF_Cecum_1921	215
PFF_Jejunum_1946	141
PFF_Jejunum_1938	55
PFF_Colon_1910	168
PFF_Cecum_1945	186
PFF_Cecum_35	220
PFF_Baseline_1944	179
PFF_Colon_1945	151
PFF_Cecum_30	205
PFF_Colon_1914	151
PFF_Colon_1921	276
PFF_Colon_21	172
PFF_Colon_11	159
PFF_Cecum_11	242
PFF_Baseline_26	173
PFF_Cecum_21	170
PFF_Colon_25	118
PFF_Cecum_37	171
PFF_Baseline_37	146
PFF_Colon_17	185
PFF_Colon_32	194
PFF_Cecum_1914	210
PFF_Jejunum_1945	71
PFF_Jejunum_17	89
PFF_Baseline_12	168
PFF_Jejunum_14	73
PFF_Jejunum_18	21
PFF_Cecum_28	265
PFF_Jejunum_1942	59
PFF_Cecum_1920	283
PFF_Jejunum_28	120
PFF_Cecum_13	211
PFF_Colon_28	168
PFF_Colon_1941	246
PFF_Colon_18	194
PFF_Colon_14	148
PFF_Jejunum_1943	71
PFF_Baseline_15	188
PFF_Cecum_17	239
PFF_Colon_36	227
PFF_Baseline_1946	157
PFF_Cecum_1904	220
PFF_Jejunum_1906	34
PFF_Colon_30	136
PFF_Cecum_1938	179
PFF_Jejunum_1917	84
PFF_Baseline_25	153
PFF_Cecum_1910	200
PFF_Cecum_1913	217
PFF_Baseline_1942	150
PFF_Baseline_17	113
PFF_Colon_15	182
PFF_Colon_1907	168
PFF_Cecum_1942	203
PFF_Baseline_28	135
PFF_Jejunum_35	60
PFF_Colon_27	227
PFF_Cecum_19	145
PFF_Colon_1938	143
PFF_Jejunum_1921	36
PFF_Baseline_11	237
PFF_Colon_19	168
PFF_Baseline_30	170
PFF_Colon_1913	126
PFF_Baseline_18	171
PFF_Baseline_35	210
PFF_Colon_1906	191
PFF_Colon_16	155
PFF_Colon_1904	193
PFF_Jejunum_30	63
PFF_Jejunum_1908	78
PFF_Cecum_1907	203
PFF_Colon_37	138
PFF_Cecum_25	171
PFF_Cecum_1906	232
PFF_Colon_1908	188
PFF_Cecum_36	193
PFF_Baseline_16	176
PFF_Cecum_27	229
PFF_Cecum_1944	222
PFF_Colon_35	174
PFF_Baseline_36	188
PFF_Jejunum_1937	56
PFF_Jejunum_1920	54
PFF_Cecum_1908	189
PFF_Jejunum_27	55
PFF_Cecum_15	187
PFF_Colon_1920	177
PFF_Cecum_1917	222
PFF_Jejunum_1944	48
PFF_Jejunum_1913	72
PFF_Baseline_32	200
PFF_Baseline_1937	176
PFF_Jejunum_12	43
PFF_Jejunum_25	62
PFF_Jejunum_13	67
PFF_Colon_1944	192
PFF_Jejunum_1904	60
PFF_Colon_1943	176
PFF_Baseline_1943	167
PFF_Baseline_27	189
PFF_Jejunum_36	118
PFF_Cecum_1941	254
PFF_Cecum_32	237
PFF_Jejunum_15	39
PFF_Jejunum_1914	59
PFF_Cecum_1937	216
PFF_Jejunum_11	77
PFF_Colon_1942	168
PFF_Cecum_14	201
PFF_Baseline_13	174
PFF_Colon_13	157
PFF_Baseline_14	151
PFF_Baseline_1921	158
PFF_Colon_1917	203
PFF_Colon_1946	117
PFF_Cecum_18	253
