	observed_otus
MPTP_Baseline_115_S118_L001_R1_001	128
MPTP_Baseline_116_S64_L001_R1_001	147
MPTP_Baseline_117_S43_L001_R1_001	132
MPTP_Baseline_118_S29_L001_R1_001	142
MPTP_Baseline_119_S71_L001_R1_001	93
MPTP_Baseline_121_S121_L001_R1_001	172
MPTP_Baseline_165_S30_L001_R1_001	130
MPTP_Baseline_167_S70_L001_R1_001	156
MPTP_Baseline_168_S33_L001_R1_001	143
MPTP_Baseline_169_S112_L001_R1_001	157
MPTP_Baseline_170_S39_L001_R1_001	138
MPTP_Baseline_171_S31_L001_R1_001	109
MPTP_Baseline_172_S34_L001_R1_001	140
MPTP_Baseline_173_S36_L001_R1_001	132
MPTP_Baseline_174_S65_L001_R1_001	140
MPTP_Baseline_175_S120_L001_R1_001	158
MPTP_Baseline_177_S24_L001_R1_001	144
MPTP_Baseline_178_S38_L001_R1_001	176
MPTP_Baseline_179_S35_L001_R1_001	149
MPTP_Baseline_427_S116_L001_R1_001	127
MPTP_Baseline_434_S109_L001_R1_001	133
MPTP_Baseline_435_S22_L001_R1_001	142
MPTP_Baseline_436_S119_L001_R1_001	157
MPTP_Baseline_437_S117_L001_R1_001	134
MPTP_Baseline_465_S67_L001_R1_001	153
MPTP_Baseline_466_S110_L001_R1_001	177
MPTP_Baseline_469_S108_L001_R1_001	144
MPTP_Baseline_473_S56_L001_R1_001	116
MPTP_Baseline_474_S4_L001_R1_001	107
MPTP_Baseline_491_S18_L001_R1_001	152
MPTP_Baseline_494_S61_L001_R1_001	139
MPTP_Baseline_501_S2_L001_R1_001	130
MPTP_Baseline_502_S12_L001_R1_001	138
MPTP_Baseline_503_S17_L001_R1_001	136
MPTP_Baseline_504_S3_L001_R1_001	121
MPTP_Baseline_505_S1_L001_R1_001	147
MPTP_Baseline_507_S15_L001_R1_001	136
MPTP_Baseline_508_S6_L001_R1_001	125
MPTP_Baseline_509_S11_L001_R1_001	168
MPTP_Baseline_510_S20_L001_R1_001	177
MPTP_Baseline_511_S16_L001_R1_001	157
MPTP_Baseline_513_S13_L001_R1_001	125
MPTP_Baseline_514_S8_L001_R1_001	144
MPTP_Baseline_515_S5_L001_R1_001	159
MPTP_Baseline_531_S14_L001_R1_001	99
MPTP_Baseline_550_S63_L001_R1_001	136
MPTP_Baseline_583_S7_L001_R1_001	138
MPTP_Baseline_584_S113_L001_R1_001	118
MPTP_Baseline_585_S62_L001_R1_001	135
MPTP_Baseline_586_S23_L001_R1_001	156
MPTP_Baseline_587_S27_L001_R1_001	152
MPTP_Baseline_590_S25_L001_R1_001	133
MPTP_Baseline_593_S37_L001_R1_001	117
MPTP_Baseline_595_S19_L001_R1_001	119
MPTP_Baseline_596_S9_L001_R1_001	109
MPTP_Baseline_597_S69_L001_R1_001	111
MPTP_Baseline_599_S21_L001_R1_001	120
MPTP_Baseline_606_S32_L001_R1_001	154
MPTP_Baseline_608_S28_L001_R1_001	120
MPTP_Baseline_609_S111_L001_R1_001	128
MPTP_Baseline_611_S10_L001_R1_001	56
MPTP_Baseline_612_S26_L001_R1_001	53
MPTP_Baseline_613_S68_L001_R1_001	56
PFF_Baseline_11_S57_L001_R1_001	209
PFF_Baseline_12_S48_L001_R1_001	130
PFF_Baseline_13_S53_L001_R1_001	138
PFF_Baseline_14_S66_L001_R1_001	131
PFF_Baseline_15_S123_L001_R1_001	143
PFF_Baseline_16_S50_L001_R1_001	139
PFF_Baseline_17_S58_L001_R1_001	97
PFF_Baseline_18_S115_L001_R1_001	137
PFF_Baseline_19_S73_L001_R1_001	125
PFF_Baseline_1921_S54_L001_R1_001	132
PFF_Baseline_1937_S51_L001_R1_001	161
PFF_Baseline_1942_S40_L001_R1_001	133
PFF_Baseline_1943_S55_L001_R1_001	131
PFF_Baseline_1944_S114_L001_R1_001	156
PFF_Baseline_1946_S42_L001_R1_001	131
PFF_Baseline_25_S44_L001_R1_001	121
PFF_Baseline_26_S46_L001_R1_001	145
PFF_Baseline_27_S72_L001_R1_001	154
PFF_Baseline_28_S59_L001_R1_001	121
PFF_Baseline_30_S45_L001_R1_001	145
PFF_Baseline_32_S49_L001_R1_001	178
PFF_Baseline_35_S122_L001_R1_001	172
PFF_Baseline_36_S41_L001_R1_001	143
PFF_Baseline_37_S47_L001_R1_001	123
Q22_WT_107_S28_L001_R1_001	167
Q22_WT_108_S21_L001_R1_001	122
Q22_WT_109_S23_L001_R1_001	112
Q22_WT_37_S101_L001_R1_001	143
Q22_WT_405_S124_L001_R1_001	123
Q22_WT_408_S13_L001_R1_001	150
Q22_WT_411_S125_L001_R1_001	149
Q22_WT_517_S27_L001_R1_001	118
Q22_WT_518_S22_L001_R1_001	117
Q22_WT_562_S26_L001_R1_001	148
Q22_WT_564_S19_L001_R1_001	147
Q22_WT_567_S12_L001_R1_001	139
Q22_WT_568_S104_L001_R1_001	151
Q22_WT_569_S16_L001_R1_001	163
Q22_WT_570_S17_L001_R1_001	165
Q22_WT_571_S20_L001_R1_001	106
Q22_WT_573_S18_L001_R1_001	151
Q22_WT_675_S98_L001_R1_001	155
Q22_WT_678_S105_L001_R1_001	147
Q22_WT_681_S87_L001_R1_001	181
Q22_WT_685_S86_L001_R1_001	147
Q22_WT_686_S103_L001_R1_001	139
Q22_WT_688_S99_L001_R1_001	177
Q22_WT_704_S102_L001_R1_001	142
Q22_WT_706_S30_L001_R1_001	160
Q22_WT_708_S85_L001_R1_001	143
Q22_WT_729_S95_L001_R1_001	158
Q22_WT_731_S94_L001_R1_001	160
Q22_WT_732_S92_L001_R1_001	123
Q22_WT_733_S91_L001_R1_001	148
Q22_WT_736_S97_L001_R1_001	152
Q22_WT_739_S29_L001_R1_001	145
Q22_WT_740_S88_L001_R1_001	135
Q22_WT_741_S100_L001_R1_001	139
Q22_WT_743_S93_L001_R1_001	149
Q22_WT_744_S106_L001_R1_001	130
Q22_WT_750_S89_L001_R1_001	146
Q22_WT_751_S96_L001_R1_001	138
Q22_WT_752_S90_L001_R1_001	140
Q22_WT_782_S25_L001_R1_001	131
Q22_WT_783_S31_L001_R1_001	123
Q22_WT_785_S24_L001_R1_001	137
Q22_WT_786_S14_L001_R1_001	148
Q22_WT_787_S15_L001_R1_001	163
Q22_WT_823_S107_L001_R1_001	179
