"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","description"
"1","CRNFORCAT.PWY","Genotype","MUT",0.164901759634379,0.0692541136868595,90,72,0.0251931892595352,0.0752456374349592,"creatinine degradation I"
"2","GALLATE.DEGRADATION.I.PWY","Genotype","MUT",0.187917494533307,0.0583541128259525,90,72,0.00353550800638462,0.0153862880621202,"gallate degradation II"
"3","GALLATE.DEGRADATION.II.PWY","Genotype","MUT",0.187917494533307,0.0583541128259525,90,72,0.00353550800638462,0.0153862880621202,"gallate degradation I"
"4","METHYLGALLATE.DEGRADATION.PWY","Genotype","MUT",0.187586872924696,0.0583071810210643,90,72,0.0035623249182857,0.0154367413125714,"methylgallate degradation"
"5","P101.PWY","Genotype","MUT",0.241270898190201,0.0701198883924339,90,72,0.00091023623348735,0.00522934583997832,"ectoine biosynthesis"
"6","P184.PWY","Genotype","MUT",0.234547498333624,0.0678938487871537,90,72,0.00087053956409332,0.00501549498858311,"protocatechuate degradation I (meta-cleavage pathway)"
"7","P461.PWY","Genotype","HET",0.404611365636488,0.163401372624547,90,90,0.02040353912123,0.0628850719420281,"hexitol fermentation to lactate, formate, ethanol and acetate"
"8","PWY.5181","Genotype","MUT",0.143923185947131,0.0630517901523071,90,73,0.0312255985942448,0.091510858307989,"toluene degradation III (aerobic) (via p-cresol)"
"9","PWY.6338","Genotype","MUT",0.237696223278762,0.0692882809064743,90,72,0.000940983180996881,0.00536043227826313,"superpathway of vanillin and vanillate degradation"
"10","PWY.6339","Genotype","MUT",0.180181140832217,0.0567989022476071,90,72,0.00397698452561835,0.0167330386264606,"syringate degradation"
"11","PWY.6944","Genotype","MUT",0.172971581790009,0.0528615659549529,90,72,0.00311191350569601,0.0141184800661107,"androstenedione degradation"
"12","PWY.7097","Genotype","MUT",0.237696223278762,0.0692882809064743,90,72,0.000940983180996881,0.00536043227826313,"vanillin and vanillate degradation I"
"13","PWY.7098","Genotype","MUT",0.235530559528197,0.0679460573103767,90,72,0.000837829293290788,0.00488252243331528,"vanillin and vanillate degradation II"
"14","PWY.7254","Genotype","MUT",0.378019495829969,0.150255853588644,90,90,0.0186665072270121,0.0581500409468211,"TCA cycle VII (acetate-producers)"
"15","REDCITCYC","Genotype","MUT",0.396693396185111,0.172738825979708,90,90,0.030302972341244,0.0890643882725257,"TCA cycle VIII (helicobacter)"
