	chao1
SLCDTT145	440.9811320754717
SLCDTT146	300.7241379310345
SLCDTT147	372.22727272727275
SLCDTT151	351.0232558139535
SLCDTT152	346.52173913043475
SLCDTT153	322.8378378378378
SLCDTT157	480.4677419354839
SLCDTT158	365.0
SLCDTT159	369.2830188679245
SLCDTT163	449.258064516129
SLCDTT164	338.52272727272725
SLCDTT165	322.77777777777777
SLCDTT169	299.97727272727275
SLCDTT170	354.06
SLCDTT171	334.09375
SLCDTT175	442.0
SLCDTT176	330.5625
SLCDTT177	343.71794871794873
SLCdtt001	143.1764705882353
SLCdtt002	289.1081081081081
SLCdtt003	276.0
SLCdtt007	237.6153846153846
SLCdtt008	321.25
SLCdtt009	255.8
SLCdtt013	296.375
SLCdtt014	199.0
SLCdtt015	418.3414634146342
SLCdtt019	180.0
SLCdtt020	233.3684210526316
SLCdtt021	193.875
SLCdtt025	267.4166666666667
SLCdtt026	266.8965517241379
SLCdtt027	277.15625
SLCdtt031	226.75
SLCdtt032	250.5
SLCdtt033	212.6
SLCdtt037	294.4
SLCdtt038	279.2173913043478
SLCdtt039	279.1363636363636
SLCdtt044	246.20689655172413
SLCdtt045	161.8
SLCdtt050	261.05263157894734
SLCdtt051	255.0
SLCdtt055	135.04
SLCdtt056	202.4
SLCdtt057	231.4375
SLCdtt061	125.0
SLCdtt062	316.3333333333333
SLCdtt063	268.2068965517241
SLCdtt067	233.6153846153846
SLCdtt068	206.66666666666666
SLCdtt069	298.95454545454544
SLCdtt074	321.55172413793105
SLCdtt075	220.5625
SLCdtt079	230.83333333333334
SLCdtt080	234.4375
SLCdtt081	201.47619047619048
SLCdtt087	237.03225806451613
SLCdtt091	165.875
SLCdtt092	216.6
SLCdtt093	281.09090909090907
SLCdtt097	298.53846153846155
SLCdtt098	222.1578947368421
SLCdtt099	197.10344827586206
SLCdtt103	217.525
SLCdtt105	181.6153846153846
SLCdtt109	247.875
SLCdtt110	250.47619047619048
SLCdtt111	226.5625
SLCdtt115	170.0
SLCdtt116	142.33333333333334
SLCdtt117	189.0
SLCdtt121	213.65
SLCdtt122	171.66666666666666
SLCdtt123	204.53846153846155
SLCdtt128	275.0
SLCdtt129	190.14285714285714
SLCdtt133	207.6875
SLCdtt134	249.64
SLCdtt135	216.78947368421052
SLCdtt139	163.89473684210526
SLCdtt140	179.0
SLCdtt141	223.84
