	shannon_entropy
SLCDTT145	4.139867814707894
SLCDTT146	4.050962054865659
SLCDTT147	4.16121790472929
SLCDTT151	3.3204010675764772
SLCDTT152	3.8109276063604822
SLCDTT153	3.6349716059458324
SLCDTT157	3.912683617256847
SLCDTT158	4.102882833481974
SLCDTT159	3.808311013883544
SLCDTT163	3.9983966093928065
SLCDTT164	4.042834691637537
SLCDTT165	3.715016152437463
SLCDTT169	3.189190113888316
SLCDTT170	4.108277779939665
SLCDTT171	3.4598515163786536
SLCDTT175	3.1562914740941985
SLCDTT176	3.8664343937282797
SLCDTT177	3.9380831021071843
SLCdtt001	1.472866533471216
SLCdtt002	3.888903772229748
SLCdtt003	3.0275305399415324
SLCdtt007	3.2840632980020064
SLCdtt008	3.9700929558292013
SLCdtt009	3.259254059250935
SLCdtt013	4.177032633515505
SLCdtt014	2.700178982940411
SLCdtt015	3.7763367941780013
SLCdtt019	2.8045609955896773
SLCdtt020	4.001721551518687
SLCdtt021	3.6535862012712452
SLCdtt025	3.244355405960808
SLCdtt026	4.063871126435826
SLCdtt027	4.009449079774138
SLCdtt031	3.473861451390924
SLCdtt032	3.4999538089296256
SLCdtt033	3.875956157011469
SLCdtt037	3.4792061729913972
SLCdtt038	3.889719068672792
SLCdtt039	3.1591216393261714
SLCdtt044	3.4983854005156627
SLCdtt045	2.241097126554308
SLCdtt050	3.8430924401671835
SLCdtt051	3.4348668093362633
SLCdtt055	2.585803707475003
SLCdtt056	3.7978865287259227
SLCdtt057	3.588084452469345
SLCdtt061	3.3160180310751777
SLCdtt062	3.4008486557750546
SLCdtt063	4.001219572363901
SLCdtt067	2.8875029123866436
SLCdtt068	3.9767223223093335
SLCdtt069	4.243863560048458
SLCdtt074	4.005054359303575
SLCdtt075	3.4800648575440136
SLCdtt079	3.3194250832489605
SLCdtt080	4.232573636189988
SLCdtt081	3.3813885833758914
SLCdtt087	3.2465484804227245
SLCdtt091	3.0899680962313765
SLCdtt092	3.4054031685882897
SLCdtt093	3.9892109247022423
SLCdtt097	3.015699858680732
SLCdtt098	2.6609387197831187
SLCdtt099	2.4537749045167994
SLCdtt103	2.135713373193429
SLCdtt105	3.2624736061416995
SLCdtt109	3.2659064923321877
SLCdtt110	3.886348038225349
SLCdtt111	3.956705084751364
SLCdtt115	2.7488290199838548
SLCdtt116	3.4971171354290633
SLCdtt117	3.371841415958274
SLCdtt121	3.03991813757771
SLCdtt122	3.6217996983191125
SLCdtt123	2.947502115217302
SLCdtt128	3.992796280424781
SLCdtt129	2.620813040390055
SLCdtt133	3.760712197534029
SLCdtt134	4.158917179874097
SLCdtt135	3.712000240465731
SLCdtt139	2.6770333410747846
SLCdtt140	3.8477159821905422
SLCdtt141	3.628479960753014
