	SLCDTT145	SLCDTT146	SLCDTT147	SLCDTT151	SLCDTT152	SLCDTT153	SLCDTT157	SLCDTT158	SLCDTT159	SLCDTT163	SLCDTT164	SLCDTT165	SLCDTT169	SLCDTT170	SLCDTT171	SLCDTT175	SLCDTT176	SLCDTT177	SLCdtt001	SLCdtt002	SLCdtt003	SLCdtt007	SLCdtt008	SLCdtt009	SLCdtt013	SLCdtt014	SLCdtt015	SLCdtt019	SLCdtt020	SLCdtt021	SLCdtt025	SLCdtt026	SLCdtt027	SLCdtt031	SLCdtt032	SLCdtt033	SLCdtt037	SLCdtt038	SLCdtt039	SLCdtt044	SLCdtt045	SLCdtt050	SLCdtt051	SLCdtt055	SLCdtt056	SLCdtt057	SLCdtt061	SLCdtt062	SLCdtt063	SLCdtt067	SLCdtt068	SLCdtt069	SLCdtt074	SLCdtt075	SLCdtt079	SLCdtt080	SLCdtt081	SLCdtt087	SLCdtt091	SLCdtt092	SLCdtt093	SLCdtt097	SLCdtt098	SLCdtt099	SLCdtt103	SLCdtt105	SLCdtt109	SLCdtt110	SLCdtt111	SLCdtt115	SLCdtt116	SLCdtt117	SLCdtt121	SLCdtt122	SLCdtt123	SLCdtt128	SLCdtt129	SLCdtt133	SLCdtt134	SLCdtt135	SLCdtt139	SLCdtt140	SLCdtt141
SLCDTT145	0.0	0.6415099883926879	0.7197086858397402	1.3276972339878066	0.7583445893365347	0.9809325446756934	0.7218030090007027	2.1950466813319047	1.2545357605394358	1.1959185355090622	1.398148723747216	0.46994107412335395	0.7022159896490494	2.5058051523146925	1.3051622332400012	0.673404156033702	1.699093657279226	0.46549151315123166	2.6981715643119233	1.9816437600406531	1.9997405905973524	1.8875634135737314	1.7839081603022613	1.8225334061520215	2.7634966929643667	2.106601243971178	1.4074297346065598	2.481771474215834	1.8356266527418128	1.9614889658410697	2.2123126469541092	1.968170211924361	1.9417552296618874	1.8337235742843394	1.595507437887977	1.8179174143819863	2.133145173534103	3.1506427555419254	2.865040001915669	1.5881178518583527	2.1368352946764495	2.7513159072020468	2.416390855321696	2.5058626871970393	2.877989139321201	2.8769450744200573	1.9562811214332942	1.899077410252101	2.7161664856004006	2.0914337089956265	1.8145104076163368	1.9078580114861954	2.3016285447502653	2.263196676742442	2.2900733529358197	2.212558923968652	2.4712858446535244	2.6368439953429847	2.4804797834995744	2.7186297997367204	2.5571578175611935	2.682299167333836	2.260394584108787	2.270720285232415	2.0779065270155472	2.7979814723468626	1.780171147927966	1.9373415861648025	2.2888983245871826	1.940380317386263	2.3278086612827957	2.0816469013271672	2.0871589079022788	2.006022548812825	2.0689556513017324	2.3881864958496797	1.7497084287832363	1.895412962497424	2.3979461297615727	1.877208303411926	2.496512068209987	1.8484472037787187	1.2959717606258903
SLCDTT146	0.6415099883926879	0.0	0.7089366388056544	1.9229723467705626	0.598307069730366	1.531833378520331	0.87821275372891	1.554899346752304	0.7129233922395238	1.8163998478775	0.7646853405622367	0.8049372818781829	1.2787285457797255	1.8662308455679666	0.6836292069952594	1.0546847075497574	1.060044223162813	0.5721733450563082	3.084356024250886	1.8298585961181013	2.2935927501605504	2.2495593789296877	1.7179837955658281	2.0636678846484164	2.3376251916275455	2.332185959764337	1.1333289695396755	2.9176097279833764	1.681932578716716	2.077554388141336	2.6264095927557656	1.6486806717220193	1.8171661615614558	2.177686406502058	1.9584472843825473	2.00738994098151	2.0842299348820834	2.8073283500945974	2.6089663872726607	1.464226502114261	2.234401417026585	2.4716962018568354	2.1942531213451617	2.881810371548484	2.523614660841308	2.627146399744846	2.251138643188442	1.595398820440218	2.6032974798871633	2.5086232278112512	1.811291419140506	1.7466772821698606	1.9804174566868074	2.1645793183541	2.7790469240913196	2.080882950285306	2.5261914398054417	2.5040783932219015	2.733682074529925	2.558145785161365	2.291690509730525	2.9119494785864783	2.2273215466179512	2.521611338588243	2.277421133681501	2.7931071926877227	2.2496685634541262	1.8132579777316746	2.1604641514807064	2.365273571407298	2.2050134663971965	2.1056623458979886	2.4419124817199	2.083512994896995	2.460642565602748	2.101285779303496	2.0226428488962975	2.1644220597186528	2.043398436152524	1.83098695013721	3.0248340248651395	1.7151823495877399	1.6262454894921403
SLCDTT147	0.7197086858397402	0.7089366388056544	0.0	1.5258012397083618	0.23473824744065852	1.0918314016933037	0.2266915698687591	1.9390853635389906	0.8312271376600526	1.493524251916346	1.1630762891804056	0.3841978989442888	0.9431016575642384	2.306166375986583	1.0363303156942238	0.5323353307930148	1.4949281640928982	0.34310037395697907	3.389015111092304	2.493007774968575	2.699194784220152	2.5976041179175806	2.3469487384967955	2.5134944772723458	3.025589790191026	2.7869028604556707	1.8197374528582635	3.169610945248111	2.339170593636851	2.6079338276111828	2.9152876693585386	2.3452691401123174	2.4705597312155163	2.539881166462253	2.3064511624702457	2.4873166247791514	2.707889073118147	3.5027996196145055	3.2979098300700436	2.108496382351178	2.759318143853663	3.162013579712597	2.8732310972166206	3.19784531329454	3.210455197709134	3.3092602956377277	2.6232322073285146	2.2950880946846155	3.255470733983481	2.788190185679197	2.396789077846695	2.4066672632223822	2.675917330350005	2.8025772705813563	2.9672118873714757	2.7246891695390842	3.0863708912555126	3.15947051622387	3.153205296643921	3.224710625653043	2.9841109642231944	3.3694764056081836	2.847311783451131	2.9658177376116157	2.7598166617942366	3.3869876548401314	2.4768362143351936	2.4660283850482236	2.8153617263449813	2.6333241821175446	2.8384270323808174	2.692776508237053	2.7890266917893314	2.627335254237329	2.770106054855481	2.793754652537619	2.445987835928381	2.5792968547598383	2.7385674405874934	2.447738085967718	3.149480762535841	2.3556204316973877	1.9864422475039218
SLCDTT151	1.3276972339878066	1.9229723467705626	1.5258012397083618	0.0	1.6779898177004324	0.4378505782628845	1.32046031443305	3.420118721709956	2.345131683362321	0.27114172759107147	2.6122155905834443	1.1851571642335559	0.6466081934478085	3.7640838012710898	2.4978456749065843	0.9968705366276982	2.943376079695066	1.4689138991641097	2.8918261793281883	3.112951229705155	2.5348892446486113	2.306331590324756	2.8579865809777756	2.4939993864492247	4.053095196197193	2.7455958001039034	2.667318628452749	2.5767606418318443	2.98110659699292	2.797581011053089	2.4253003865161586	3.2202512931431193	3.052827783595739	2.3056794019750457	2.0963163400589857	2.572650753311823	3.150300736678126	4.382517618480544	4.035571101236645	2.7357547564521196	2.965411400483705	3.9451757170717965	3.5775873280511385	2.7563680784252944	4.121697391401958	4.040542404652033	2.4843682005587215	3.1449800881200813	3.754892899977813	2.3212491351953	2.8177984869522947	3.052953475851198	3.541603970259201	3.319284862745701	2.2582318107151234	3.3040259713056743	3.3209076208004538	3.7013217368059914	3.0006755518608577	3.8068884964598544	3.7476317958442023	3.227196240992188	3.247022505500857	2.8371667985258604	2.7684638982930965	3.697903936190214	1.949436228083561	3.0483761965996083	3.373745848235052	2.1858915063485935	3.398897928322616	3.020813808186	2.4731637313566806	2.884313899591531	2.370805633048128	3.601527198475613	2.38250620090817	2.497179624083237	3.6553417228168534	2.920022337078839	2.2773269400634644	2.9734187827481042	1.962498211607829
SLCDTT152	0.7583445893365347	0.598307069730366	0.23473824744065852	1.6779898177004324	0.0	1.2548964795093127	0.4053127603786329	1.7795287921751204	0.6900255909243639	1.6487280334288057	0.9903958230402997	0.5284541946534489	1.0726690172076683	2.1429101184295614	0.8668799146910422	0.6911958118189876	1.3412894945997866	0.4624798426752066	3.448522179854718	2.4193481658209475	2.721641115046999	2.630133848221543	2.2900029482328006	2.520410212389877	2.903193497460673	2.8003526534517005	1.7302791642672655	3.238494423551761	2.2716338332385853	2.5954209281235974	2.9673954582278257	2.2441768706150254	2.402378844848239	2.5712360955679574	2.3359022816142483	2.4907849062175034	2.656448908720845	3.3941218579089933	3.2065768908273715	2.046447556285729	2.758324829575444	3.0683619893423377	2.792207521171764	3.25370047193188	3.109123121164041	3.2251231173899364	2.6706625042845964	2.1902183064458507	3.1916180293422682	2.8463181950188963	2.367696222215958	2.3379409981422934	2.574463952549171	2.7485971373678684	3.0462627649134797	2.6695140101564765	3.0706524233969517	3.0952507303441243	3.186300316155524	3.1525852704266466	2.888769461117716	3.382327738030334	2.7962504013473177	2.9771980459266247	2.7586185494685203	3.3582016646974617	2.53838681877893	2.3984732399328625	2.7492353343061717	2.695241265577819	2.791290498453665	2.65767925962317	2.8294661244703074	2.615623552459827	2.8197850049656186	2.6980455207402594	2.4607294443185532	2.6055316743960035	2.632078639671506	2.4003761687562744	3.2429878315833847	2.3014258162884316	2.021576040801324
SLCDTT153	0.9809325446756934	1.531833378520331	1.0918314016933037	0.4378505782628845	1.2548964795093127	0.0	0.8883634593591287	2.999311753237588	1.91490248653377	0.4610382020410077	2.197145557400697	0.7617228506353819	0.30778058727986163	3.349570043624655	2.079566115614745	0.5673688325629073	2.527400701622167	1.0490325387027553	2.9706309128275983	2.882952214048019	2.5023349486438278	2.3061204545314538	2.6487077223563986	2.4171789218812787	3.7374497927008306	2.6816530063763144	2.371013427042552	2.6795827934589727	2.7410145501762497	2.6698488832658405	2.4926492726549356	2.9301683505234988	2.8307565782423736	2.2862384124703743	2.060654556427337	2.4661773117706947	2.965903700486016	4.105910152882219	3.790747745742761	2.4925512185184195	2.834071249940523	3.6874070997931603	3.3339586749597276	2.814016555290969	3.8328289648017106	3.795934074047444	2.4346312659303826	2.860878696106945	3.5673681115044813	2.3753525232303687	2.626500947337193	2.8134626209253533	3.258601687074017	3.1175763992050616	2.392286811929613	3.0847406782342586	3.1923499492499	3.500995608927251	2.97351991897236	3.5984038016239372	3.493263640285325	3.2070337345633497	3.0768344486831034	2.804447386290061	2.6931885376194162	3.5561737656384134	2.0107282536193716	2.8260489476732755	3.1640339060316975	2.2271957162708955	3.184686264906657	2.8629410593484415	2.484576905810033	2.7384087604457776	2.405174172980567	3.333443947681223	2.3138214159403327	2.4353510871265005	3.361395930757248	2.7209954846415627	2.468951700705815	2.7367890303442612	1.8560063833160856
SLCDTT157	0.7218030090007027	0.87821275372891	0.2266915698687591	1.32046031443305	0.4053127603786329	0.8883634593591287	0.0	2.160340450311503	1.0511740764586355	1.3101622693912813	1.3793716008568602	0.27922231531097297	0.7661288545447031	2.5272931544338975	1.2536747259767855	0.3267290815084672	1.7171679072966544	0.4341620275334145	3.3612963574460824	2.613748899714389	2.707022448534358	2.5834820350137626	2.448426368203583	2.5381957679507074	3.210064273512206	2.8156737278007236	1.96270531798875	3.12444309214269	2.461590771973434	2.6673752673947186	2.879621869458061	2.502174661164863	2.5853003890207518	2.5333204218764807	2.296162395423333	2.5284023740185777	2.806215693482993	3.6712680598123697	3.4459690947300516	2.223658604351496	2.8260668110651497	3.31547066364976	3.012912331977605	3.175513746323922	3.382566097004669	3.4575331769141604	2.6358263041653642	2.446175113319811	3.3696108947002954	2.754146186709519	2.4880416893530777	2.531047538432387	2.8358384159349024	2.9145725919995433	2.9014726289365056	2.845529206590822	3.161955729745051	3.279186158964916	3.1732978868133466	3.3504788780443864	3.1323231546826813	3.3924886180055926	2.9410649802066047	2.9838078440260105	2.7941812138671014	3.4774543687924275	2.425560689482026	2.5807972904286864	2.9326234661266	2.59901880869512	2.958938387432463	2.774068543690738	2.776847386159913	2.698513556097054	2.745329896929319	2.946760004950019	2.4625362315044605	2.5979800469717254	2.9064790602430426	2.5464027156605495	3.062966123445078	2.4761802754713904	1.995514273854481
SLCDTT158	2.1950466813319047	1.554899346752304	1.9390853635389906	3.420118721709956	1.7795287921751204	2.999311753237588	2.160340450311503	0.0	1.1174573422911	3.3396159426594827	0.8162962469059108	2.2378744336245027	2.784590683811623	0.3891717582887499	0.9255045620576733	2.4519590002668497	0.5014625489626936	1.9781735367513187	4.3119638737044	2.3740922519887713	3.4615817312666914	3.512741593001047	2.4620461662446775	3.1922177820968165	1.9727681708159475	3.396740668469283	1.7827014789852067	4.224819364371728	2.274006577559924	3.020753301619815	3.9250955967373797	1.8874815041958475	2.419518551500965	3.424028026442354	3.252524556177871	3.070911887901514	2.7492893977617645	2.5893037344117316	2.6806827876727546	2.20239391876001	3.110205069568357	2.5134248333235614	2.4594449876573345	4.107117987787647	2.3322212056249367	2.7067725386329915	3.41371275798991	1.9056081445005768	3.0184667641953324	3.8161672173931236	2.6240731408480795	2.298609023703614	2.0666384540432503	2.7078673949851084	4.162851158905876	2.5764877494384977	3.2800139625347855	2.8946079447426927	3.7865739663991	2.8756943864853324	2.423963988211131	3.91758243012114	2.8885419441522378	3.6039278306470304	3.315622068468608	3.389993930357636	3.6383315248739665	2.4176364250025797	2.6473929030727583	3.6906166857715252	2.6804556227074694	2.895082744015578	3.6748954562840166	2.9601494382124454	3.7399493724162656	2.235723467724827	3.198244118382181	3.3102749520722083	2.009317325035426	2.5701089312667165	4.449670565559455	2.3283161677651423	2.921277594356602
SLCDTT159	1.2545357605394358	0.7129233922395238	0.8312271376600526	2.345131683362321	0.6900255909243639	1.91490248653377	1.0511740764586355	1.1174573422911	0.0	2.2908363416350257	0.4268563113619996	1.1647410862048027	1.7308911445035413	1.4949387253383848	0.3079964054494791	1.3567040962099333	0.7194820487547858	0.9380175824995439	3.7692722320561667	2.3409205946312386	2.9800384260383934	2.9497844616934086	2.291122907332531	2.7441574967910354	2.5230432451710874	2.997020953807763	1.6223939418304094	3.6075977165496362	2.1970577794771957	2.7136121158508435	3.325165615216299	2.027356126201067	2.3476695415424333	2.87383736221171	2.660737804146835	2.668757127156804	2.645574024232228	3.0768115464336327	2.9828655044612695	2.0175548483016836	2.8423072433434116	2.8268444350976463	2.6191792146772532	3.5664602801354777	2.7840806403405796	3.00008722090151	2.9113185047609793	2.0018937011069835	3.100144098382727	3.202313948393845	2.3972934753021016	2.251142879736579	2.325133002550115	2.683794926451167	3.4683010671041803	2.57582186314076	3.1139521099059313	2.986745162441314	3.388191058749972	3.0191987660297803	2.6759048210070766	3.5740218519909956	2.7941257473425516	3.198251755944819	2.943455124126061	3.3419302653524245	2.947458950209223	2.34392509343698	2.6653223326473445	3.0563373836646113	2.6919108420804685	2.7040904246330566	3.1337265311652716	2.694784005245534	3.155243443983798	2.4733636710329985	2.709398046096247	2.8379490063497657	2.3434416204026056	2.403482682207003	3.7047397458479474	2.231605326016219	2.3146491995668845
SLCDTT163	1.1959185355090622	1.8163998478775	1.493524251916346	0.27114172759107147	1.6487280334288057	0.4610382020410077	1.3101622693912813	3.3396159426594827	2.2908363416350257	0.0	2.5359372804917903	1.1297964865038232	0.5911985914192281	3.6728859047579947	2.4258563286957333	0.989175622614328	2.8520079593042227	1.3769522131540897	2.647271314165599	2.899390293404823	2.287923312889046	2.064182223605682	2.639088327837859	2.2510635391275535	3.868053842232287	2.4952233998546887	2.4817965318388757	2.337828463025468	2.767313891773078	2.554928720971825	2.185952063163128	3.027577390758628	2.836805434100278	2.0602423893609396	1.8550735379617118	2.3268900146863487	2.921718006547114	4.178140046659934	3.8202718332247145	2.524997695954581	2.7137387691684554	3.7334628503534013	3.3616016005898253	2.508287745033292	3.9176013543145487	3.8210680172973834	2.2227470110151972	2.955068706997549	3.5246690521382478	2.075656768276348	2.5832395542155204	2.838290349897602	3.3428800202486313	3.089446519466798	2.028216481010543	3.0759616852294878	3.0717353298092602	3.471952538785449	2.7425146583927775	3.580966628949705	3.538847364727716	2.978268725360255	3.0169056413847017	2.591804578044399	2.524990321625493	3.450464103500099	1.7104297889421316	2.8320715345575036	3.1502322193945043	1.9366763668931457	3.1651177194308904	2.7855587487904967	2.2251187626238926	2.6388691698725517	2.1243172506262966	3.396397489822777	2.1382669551766327	2.2442722097109797	3.4600663631634103	2.6936666262145894	2.065506397167291	2.752158023141155	1.7150268683751289
